After iteration 35: w(A1) = -0.1280, w(A2) = 0.1612, w(A3) = -0.1303, w(A4) = -0.1195, w(A5) = 0.1446, w(A6) = -0.3643, w(A7) = -0.4741, w(A8) = -0.1738, w(A9) = -0.2018, w(A10) = -0.1364, w(A11) = -0.0964, w(A12) = -0.7663, w(A13) = -0.7788, output = 0.1179
After iteration 36: w(A1) = -0.1280, w(A2) = 0.1612, w(A3) = -0.1303, w(A4) = -0.1211, w(A5) = 0.1446, w(A6) = -0.3659, w(A7) = -0.4756, w(A8) = -0.1754, w(A9) = -0.2033, w(A10) = -0.1379, w(A11) = -0.0980, w(A12) = -0.7678, w(A13) = -0.7803, output = 0.0421
After iteration 37: w(A1) = -0.1322, w(A2) = 0.1571, w(A3) = -0.1303, w(A4) = -0.1253, w(A5) = 0.1446, w(A6) = -0.3701, w(A7) = -0.4798, w(A8) = -0.1754, w(A9) = -0.2033, w(A10) = -0.1379, w(A11) = -0.1022, w(A12) = -0.7720, w(A13) = -0.7845, output = 0.0686
After iteration 38: w(A1) = -0.1322, w(A2) = 0.1571, w(A3) = -0.1303, w(A4) = -0.1253, w(A5) = 0.1054, w(A6) = -0.3701, w(A7) = -0.4798, w(A8) = -0.2146, w(A9) = -0.2425, w(A10) = -0.1771, w(A11) = -0.1022, w(A12) = -0.7720, w(A13) = -0.8237, output = 0.2054
After iteration 39: w(A1) = -0.1322, w(A2) = 0.1548, w(A3) = -0.1326, w(A4) = -0.1275, w(A5) = 0.1054, w(A6) = -0.3701, w(A7) = -0.4821, w(A8) = -0.2169, w(A9) = -0.2448, w(A10) = -0.1794, w(A11) = -0.1045, w(A12) = -0.7743, w(A13) = -0.8260, output = 0.0505
After iteration 40: w(A1) = -0.1322, w(A2) = 0.1548, w(A3) = -0.1326, w(A4) = -0.1275, w(A5) = 0.0405, w(A6) = -0.3701, w(A7) = -0.4821, w(A8) = -0.2169, w(A9) = -0.2448, w(A10) = -0.1794, w(A11) = -0.1045, w(A12) = -0.7743, w(A13) = -0.8908, output = 0.2994
After iteration 41: w(A1) = -0.1398, w(A2) = 0.1548, w(A3) = -0.1402, w(A4) = -0.1275, w(A5) = 0.0330, w(A6) = -0.3701, w(A7) = -0.4897, w(A8) = -0.2244, w(A9) = -0.2524, w(A10) = -0.1870, w(A11) = -0.1045, w(A12) = -0.7743, w(A13) = -0.8984, output = 0.0912
After iteration 42: w(A1) = -0.1607, w(A2) = 0.1339, w(A3) = -0.1611, w(A4) = -0.1484, w(A5) = 0.0121, w(A6) = -0.3701, w(A7) = -0.5105, w(A8) = -0.2244, w(A9) = -0.2524, w(A10) = -0.1870, w(A11) = -0.1045, w(A12) = -0.7743, w(A13) = -0.9193, output = 0.1475
After iteration 43: w(A1) = -0.0853, w(A2) = 0.2093, w(A3) = -0.0857, w(A4) = -0.1484, w(A5) = 0.0875, w(A6) = -0.3701, w(A7) = -0.4352, w(A8) = -0.2244, w(A9) = -0.1770, w(A10) = -0.1116, w(A11) = -0.0291, w(A12) = -0.7743, w(A13) = -0.8439, output = 0.1868
After iteration 44: w(A1) = -0.0872, w(A2) = 0.2093, w(A3) = -0.0876, w(A4) = -0.1503, w(A5) = 0.0856, w(A6) = -0.3719, w(A7) = -0.4370, w(A8) = -0.2263, w(A9) = -0.1770, w(A10) = -0.1135, w(A11) = -0.0310, w(A12) = -0.7761, w(A13) = -0.8458, output = 0.0456
After iteration 45: w(A1) = -0.0872, w(A2) = 0.1505, w(A3) = -0.1463, w(A4) = -0.1503, w(A5) = 0.0269, w(A6) = -0.3719, w(A7) = -0.4370, w(A8) = -0.2263, w(A9) = -0.2357, w(A10) = -0.1135, w(A11) = -0.0310, w(A12) = -0.7761, w(A13) = -0.9045, output = 0.2481
After iteration 46: w(A1) = -0.0872, w(A2) = 0.1505, w(A3) = -0.1792, w(A4) = -0.1833, w(A5) = -0.0061, w(A6) = -0.3719, w(A7) = -0.4370, w(A8) = -0.2263, w(A9) = -0.2357, w(A10) = -0.1465, w(A11) = -0.0310, w(A12) = -0.7761, w(A13) = -0.9375, output = 0.1896
After iteration 47: w(A1) = -0.0872, w(A2) = 0.1462, w(A3) = -0.1836, w(A4) = -0.1833, w(A5) = -0.0061, w(A6) = -0.3763, w(A7) = -0.4414, w(A8) = -0.2263, w(A9) = -0.2357, w(A10) = -0.1465, w(A11) = -0.0310, w(A12) = -0.7805, w(A13) = -0.9418, output = 0.0706
After iteration 48: w(A1) = -0.0872, w(A2) = 0.1462, w(A3) = -0.0957, w(A4) = -0.1833, w(A5) = 0.0819, w(A6) = -0.3763, w(A7) = -0.4414, w(A8) = -0.2263, w(A9) = -0.2357, w(A10) = -0.1465, w(A11) = -0.0310, w(A12) = -0.6926, w(A13) = -0.8539, output = 0.1736
After iteration 49: w(A1) = -0.0932, w(A2) = 0.1462, w(A3) = -0.0957, w(A4) = -0.1893, w(A5) = 0.0819, w(A6) = -0.3823, w(A7) = -0.4414, w(A8) = -0.2263, w(A9) = -0.2357, w(A10) = -0.1525, w(A11) = -0.0370, w(A12) = -0.6986, w(A13) = -0.8599, output = 0.0822
After iteration 50: w(A1) = -0.0975, w(A2) = 0.1418, w(A3) = -0.1000, w(A4) = -0.1936, w(A5) = 0.0775, w(A6) = -0.3866, w(A7) = -0.4414, w(A8) = -0.2306, w(A9) = -0.2401, w(A10) = -0.1525, w(A11) = -0.0370, w(A12) = -0.7029, w(A13) = -0.8642, output = 0.0694
After iteration 51: w(A1) = -0.0975, w(A2) = 0.0986, w(A3) = -0.1000, w(A4) = -0.2369, w(A5) = 0.0343, w(A6) = -0.3866, w(A7) = -0.4414, w(A8) = -0.2306, w(A9) = -0.2833, w(A10) = -0.1525, w(A11) = -0.0370, w(A12) = -0.7029, w(A13) = -0.9075, output = 0.2150
After iteration 52: w(A1) = -0.0975, w(A2) = 0.0567, w(A3) = -0.1418, w(A4) = -0.2369, w(A5) = -0.0076, w(A6) = -0.3866, w(A7) = -0.4414, w(A8) = -0.2725, w(A9) = -0.2833, w(A10) = -0.1525, w(A11) = -0.0370, w(A12) = -0.7029, w(A13) = -0.9493, output = 0.2117
After iteration 53: w(A1) = -0.0975, w(A2) = 0.0567, w(A3) = -0.1418, w(A4) = -0.2369, w(A5) = -0.0076, w(A6) = -0.3284, w(A7) = -0.4414, w(A8) = -0.2142, w(A9) = -0.2833, w(A10) = -0.0942, w(A11) = 0.0213, w(A12) = -0.6447, w(A13) = -0.8911, output = 0.1042
After iteration 54: w(A1) = -0.0975, w(A2) = 0.0521, w(A3) = -0.1418, w(A4) = -0.2369, w(A5) = -0.0122, w(A6) = -0.3330, w(A7) = -0.4460, w(A8) = -0.2142, w(A9) = -0.2879, w(A10) = -0.0942, w(A11) = 0.0167, w(A12) = -0.6493, w(A13) = -0.8957, output = 0.0721
After iteration 55: w(A1) = -0.0975, w(A2) = 0.0521, w(A3) = -0.1418, w(A4) = -0.2369, w(A5) = -0.0194, w(A6) = -0.3402, w(A7) = -0.4532, w(A8) = -0.2214, w(A9) = -0.2951, w(A10) = -0.1014, w(A11) = 0.0095, w(A12) = -0.6493, w(A13) = -0.9029, output = 0.0891
After iteration 56: w(A1) = -0.0975, w(A2) = 0.0521, w(A3) = -0.1437, w(A4) = -0.2387, w(A5) = -0.0212, w(A6) = -0.3420, w(A7) = -0.4551, w(A8) = -0.2214, w(A9) = -0.2970, w(A10) = -0.1014, w(A11) = 0.0076, w(A12) = -0.6511, w(A13) = -0.9047, output = 0.0454
After iteration 57: w(A1) = -0.0975, w(A2) = 0.0419, w(A3) = -0.1437, w(A4) = -0.2387, w(A5) = -0.0212, w(A6) = -0.3420, w(A7) = -0.4653, w(A8) = -0.2214, w(A9) = -0.2970, w(A10) = -0.1116, w(A11) = 0.0076, w(A12) = -0.6613, w(A13) = -0.9149, output = 0.1080
After iteration 58: w(A1) = -0.0975, w(A2) = 0.0419, w(A3) = -0.1673, w(A4) = -0.2387, w(A5) = -0.0448, w(A6) = -0.3656, w(A7) = -0.4653, w(A8) = -0.2214, w(A9) = -0.2970, w(A10) = -0.1352, w(A11) = -0.0159, w(A12) = -0.6613, w(A13) = -0.9385, output = 0.1588
